"Object Number","Is Highlight","Is Timeline Work","Is Public Domain","Object ID","Gallery Number","Department","AccessionYear","Object Name","Title","Culture","Period","Dynasty","Reign","Portfolio","Constituent ID","Artist Role","Artist Prefix","Artist Display Name","Artist Display Bio","Artist Suffix","Artist Alpha Sort","Artist Nationality","Artist Begin Date","Artist End Date","Artist Gender","Artist ULAN URL","Artist Wikidata URL","Object Date","Object Begin Date","Object End Date","Medium","Dimensions","Credit Line","Geography Type","City","State","County","Country","Region","Subregion","Locale","Locus","Excavation","River","Classification","Rights and Reproduction","Link Resource","Object Wikidata URL","Metadata Date","Repository","Tags","Tags AAT URL","Tags Wikidata URL","primaryImage","primaryImageSmall","hasImage","fetchedAt"
"2009.224","False","True","True","35155","374","Arms and Armor","2009","Painting","Guidobaldo II della Rovere, Duke of Urbino (1514–1574), With his  Armor by Filippo Negroli","Italian","","","","","","","","","","","","","","","","","","ca. 1580–85","1555","1610","Oil on copper","5 1/2 x 4 in. (14 x 10.2 cm); frame: 7 1/8 x 4 7/8 in. (18.1 x 12.5 cm)","Purchase, Arthur Ochs Sulzberger Gift, 2009","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35155","https://www.wikidata.org/wiki/Q56042443","","Metropolitan Museum of Art, New York, NY","Armor|Men|Portraits","http://vocab.getty.edu/page/aat/300226591|http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637","https://www.wikidata.org/wiki/Q20793164|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307","https://images.metmuseum.org/CRDImages/aa/original/DP229840.jpg","https://images.metmuseum.org/CRDImages/aa/web-large/DP229840.jpg","True","2025-09-07T15:32:32.532Z"
"09.3","False","False","True","35968","","Asian Art","1909","Pictorial map","清  佚名  台南地區荷蘭城堡|Forts Zeelandia and Provintia and the City of Tainan","China","","","","","3750","Artist"," ","Unidentified artist","Chinese, active 19th century"," ","Unidentified artist"," ","          ","          ","","","","19th century","1800","1899","Wall hanging; ink and color on deerskin","Image: 59 1/4 × 80 3/4 in. (150.5 × 205.1 cm)
Overall with decorative borders: 68 5/8 × 90 1/4 in. (174.3 × 229.2 cm)","Gift of J. Pierpont Morgan, 1909","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35968","https://www.wikidata.org/wiki/Q79003782","","Metropolitan Museum of Art, New York, NY","Maps|Houses|Cities|Boats|Ships","http://vocab.getty.edu/page/aat/300028094|http://vocab.getty.edu/page/aat/300005433|http://vocab.getty.edu/page/aat/300008389|http://vocab.getty.edu/page/aat/300178749|http://vocab.getty.edu/page/aat/300082981","https://www.wikidata.org/wiki/Q4006|https://www.wikidata.org/wiki/Q3947|https://www.wikidata.org/wiki/Q515|https://www.wikidata.org/wiki/Q35872|https://www.wikidata.org/wiki/Q11446","https://images.metmuseum.org/CRDImages/as/original/DP354272.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP354272.jpg","True","2025-09-07T15:32:34.732Z"
"13.100.22","False","False","True","35970","","Asian Art","1913","Hanging scroll","明   丁雲鵬   潯陽送客圖   軸|Song of the Lute","China","late Ming dynasty (1368–1644)","","","","1206","Artist"," ","Ding Yunpeng","Chinese, 1547–ca. 1628"," ","Ding Yunpeng","Chinese","1547      ","1628      ","","http://vocab.getty.edu/page/ulan/500125747","https://www.wikidata.org/wiki/Q376079","1585","1585","1585","Hanging scroll; ink and color on paper","Image: 55 5/8 x 18 1/8 in. (141.3 x 46 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35970","https://www.wikidata.org/wiki/Q79003726","","Metropolitan Museum of Art, New York, NY","Mountains|Trees|Boats","http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132410|http://vocab.getty.edu/page/aat/300178749","https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q10884|https://www.wikidata.org/wiki/Q35872","https://images.metmuseum.org/CRDImages/as/original/DP-16368-003.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP-16368-003.jpg","True","2025-09-07T15:32:36.913Z"
"13.100.25","False","False","True","35971","","Asian Art","1913","Hanging scroll","清   佚名   倣王翬   倣李成山水圖   軸|Landscape after Li Cheng","China","Qing dynasty (1644–1911)","","","","116363750","Artist|Artist","After| ","Wang Hui|Unidentified artist","Chinese, 1632–1717| "," | ","Wang Hui|Unidentified artist","Chinese| ","1632      |          ","1717      |          ","|","http://vocab.getty.edu/page/ulan/500327902|","https://www.wikidata.org/wiki/Q716222|","18th century or later, spurious date of 1680","1700","1911","Hanging scroll; ink on silk","14 1/2 x 11 1/8 in. (36.8 x 28.3 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35971","https://www.wikidata.org/wiki/Q79003601","","Metropolitan Museum of Art, New York, NY","Mountains|Landscapes","http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294","https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163","https://images.metmuseum.org/CRDImages/as/original/13_100_25_O.jpg","https://images.metmuseum.org/CRDImages/as/web-large/13_100_25_O.jpg","True","2025-09-07T15:32:39.068Z"
"13.100.40","False","False","True","35972","","Asian Art","1913","Folding fan mounted as an album leaf","清   佚名   倣王翬   倣仇實父採菱圖   扇|Gathering Water Chestnuts","China","Qing dynasty (1644–1911)","","","","116363750","Artist|Artist","After| ","Wang Hui|Unidentified artist","Chinese, 1632–1717| "," | ","Wang Hui|Unidentified artist","Chinese| ","1632      |          ","1717      |          ","|","http://vocab.getty.edu/page/ulan/500327902|","https://www.wikidata.org/wiki/Q716222|","18th century or later, spurious date of 1706","1700","1911","Folding fan mounted as an album leaf; ink and color on paper","6 3/4 x 20 in. (17.1 x 50.8 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35972","https://www.wikidata.org/wiki/Q79003460","","Metropolitan Museum of Art, New York, NY","Boats|Houses|Landscapes","http://vocab.getty.edu/page/aat/300178749|http://vocab.getty.edu/page/aat/300005433|http://vocab.getty.edu/page/aat/300132294","https://www.wikidata.org/wiki/Q35872|https://www.wikidata.org/wiki/Q3947|https://www.wikidata.org/wiki/Q191163","https://images.metmuseum.org/CRDImages/as/original/DP153880.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP153880.jpg","True","2025-09-07T15:32:41.219Z"
"13.100.42","False","False","True","35973","","Asian Art","1913","Folding fan mounted as an album leaf","清   佚名   倣王鑑   倣惠崇山水圖   扇|Landscape in the Style of Huichong","China","Qing dynasty (1644–1911)","","","","116453750","Artist|Artist","After| ","Wang Jian|Unidentified artist","Chinese, 1609–1677/88| "," | ","Wang Jian|Unidentified artist","Chinese| ","1609      |          ","1677      |          ","|","|","https://www.wikidata.org/wiki/Q711481|","18th century or later, spurious date of 1676","1700","1911","Folding fan mounted as an album leaf; ink and color on paper","6 3/8 x 20 1/2 in. (16.2 x 52.1 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35973","https://www.wikidata.org/wiki/Q79003341","","Metropolitan Museum of Art, New York, NY","Landscapes","http://vocab.getty.edu/page/aat/300132294","https://www.wikidata.org/wiki/Q191163","https://images.metmuseum.org/CRDImages/as/original/DP153881.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP153881.jpg","True","2025-09-07T15:32:43.410Z"
"13.100.43","False","False","True","35974","","Asian Art","1913","Folding fan mounted as an album leaf","清   倣王時敏  山水  扇面|Landscape","China","Qing dynasty (1644–1911)","","","","117003750","Artist|Artist","After| ","Wang Shimin|Unidentified artist","Chinese, 1592–1680| "," | ","WANG SHIMIN|Unidentified artist","Chinese| ","1592      |          ","1680      |          ","|","http://vocab.getty.edu/page/ulan/500331779|","https://www.wikidata.org/wiki/Q716184|","18th century or later, spurious date of 1648","1700","1911","Folding fan mounted as an album leaf; ink on gold paper","6 1/2 x 20 1/2 in. (16.5 x 52.1 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35974","https://www.wikidata.org/wiki/Q79003197","","Metropolitan Museum of Art, New York, NY","Mountains|Landscapes","http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294","https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163","https://images.metmuseum.org/CRDImages/as/original/DP153882.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP153882.jpg","True","2025-09-07T15:32:45.563Z"
"13.100.45","False","False","True","35975","","Asian Art","1913","Folding fan mounted as an album leaf","清   佚名   倣王翬   臨燕文貴勘書圖   扇|Landscape in the Style of Yan Wengui","China","Qing dynasty (1644–1911)","","","","116363750","Artist|Artist","After| ","Wang Hui|Unidentified artist","Chinese, 1632–1717| "," | ","Wang Hui|Unidentified artist","Chinese| ","1632      |          ","1717      |          ","|","http://vocab.getty.edu/page/ulan/500327902|","https://www.wikidata.org/wiki/Q716222|","18th century or later, spurious date of 1707","1707","1911","Folding fan mounted as an album leaf; ink and color on paper","6 1/2 x 19 1/4 in. (16.5 x 48.9 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35975","https://www.wikidata.org/wiki/Q79003053","","Metropolitan Museum of Art, New York, NY","Landscapes","http://vocab.getty.edu/page/aat/300132294","https://www.wikidata.org/wiki/Q191163","https://images.metmuseum.org/CRDImages/as/original/DP153883.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP153883.jpg","True","2025-09-07T15:32:47.712Z"
"13.100.47","False","False","True","35977","","Asian Art","1913","Folding fan mounted as an album leaf","明（？）　陸克正　倣北苑山水　扇|Landscape in the manner of Dong Yuan","China","Ming (1368–1644) or Qing (1644–1911) dynasty","","","","114411209","Artist|Artist","In the manner of| ","Dong Yuan|Lu Kezheng","Chinese, active 930s–960s|Chinese, active 17th century"," | ","DONG YUAN|Lu Kezheng","Chinese|Chinese","0930      |1600      ","0960      |1644      ","|","http://vocab.getty.edu/page/ulan/500123264|","https://www.wikidata.org/wiki/Q890613|","1591/1651","1591","1651","Folding fan mounted as an album leaf; ink on gold paper","6 1/2 x 20 in. (16.5 x 50.8 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35977","https://www.wikidata.org/wiki/Q79002922","","Metropolitan Museum of Art, New York, NY","Landscapes","http://vocab.getty.edu/page/aat/300132294","https://www.wikidata.org/wiki/Q191163","https://images.metmuseum.org/CRDImages/as/original/DP153840.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP153840.jpg","True","2025-09-07T15:32:49.879Z"
"13.100.49","False","False","True","35979","","Asian Art","1913","Folding fan mounted as an album leaf","明/清　佚名　倣文徴明　山水　扇|Landscape","China","Ming dynasty (1368–1644) or later","","","","117953750","Artist|Artist","After| ","Wen Zhengming|Unidentified artist","Chinese, 1470–1559| "," | ","Wen Zhengming|Unidentified artist","Chinese| ","1470      |          ","1559      |          ","|","http://vocab.getty.edu/page/ulan/500336955|","https://www.wikidata.org/wiki/Q306673|","","1368","1644","Folding fan mounted as an album leaf; ink and color on gold-flecked paper","7 1/8 x 20 1/2 in. (18.1 x 52.1 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35979","https://www.wikidata.org/wiki/Q79002794","","Metropolitan Museum of Art, New York, NY","Mountains|Landscapes","http://vocab.getty.edu/page/aat/300008795|http://vocab.getty.edu/page/aat/300132294","https://www.wikidata.org/wiki/Q8502|https://www.wikidata.org/wiki/Q191163","https://images.metmuseum.org/CRDImages/as/original/DP153564.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP153564.jpg","True","2025-09-07T15:37:55.653Z"
"13.100.57","False","False","True","35981","","Asian Art","1913","Folding fan mounted as an album leaf","明/清   沈顥   漁父圖   扇|Qu Yuan and the Fisherman","China","Ming (1368–1644) or Qing dynasty (1644–1911)","","","","1212","Artist"," ","Shen Hao","Chinese, active 1630–50"," ","Shen Hao","Chinese","1630      ","1650      ","","(not assigned)","https://www.wikidata.org/wiki/Q3481864","","1630","1650","Folding fan mounted as an album leaf; ink on gold paper","6 5/8 x 20 1/4 in. (16.8 x 51.4 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35981","https://www.wikidata.org/wiki/Q79002654","","Metropolitan Museum of Art, New York, NY","Landscapes","http://vocab.getty.edu/page/aat/300132294","https://www.wikidata.org/wiki/Q191163","https://images.metmuseum.org/CRDImages/as/original/DP153865.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP153865.jpg","True","2025-09-07T15:37:57.872Z"
"13.100.61","False","False","True","35984","","Asian Art","1913","Folding fan mounted as an album leaf","明   宋懋晉   樓居圖   扇|Dwelling in Landscape","China","Ming dynasty (1368–1644)","","","","120443750","Artist|Artist","After| ","Song Maojin|Unidentified artist","Chinese, active late 16th century–early 17th century| "," | ","Song Maojin|Unidentified artist","Chinese| ","1571      |          ","1635      |          ","|","(not assigned)|","https://www.wikidata.org/wiki/Q7561022|","17th century","1600","1644","Folding fan mounted as an album leaf; ink and color on gold paper","6 1/4 x 18 1/4 in. (15.9 x 46.4 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35984","https://www.wikidata.org/wiki/Q79002542","","Metropolitan Museum of Art, New York, NY","Landscapes|Trees","http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300132410","https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q10884","https://images.metmuseum.org/CRDImages/as/original/DP153841.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP153841.jpg","True","2025-09-07T15:38:00.175Z"
"13.100.65","False","False","True","35986","","Asian Art","1913","Folding fan mounted as an album leaf","明    程嘉燧   園鷄圖   扇|Landscape with Chicken","China","Ming (1368–1644)–Qing (1644–1911) dynasty","","","","1204","Artist","Attributed to","Cheng Jiasui","Chinese, 1565–1644"," ","Cheng Jiasui","Chinese","1565      ","1644      ","","","https://www.wikidata.org/wiki/Q1022213","","1368","1911","Folding fan mounted as an album leaf; ink on gold paper","6 1/2 x 20 3/8 in. (16.5 x 51.8 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35986","https://www.wikidata.org/wiki/Q79002377","","Metropolitan Museum of Art, New York, NY","Roosters","http://vocab.getty.edu/page/aat/300380127","https://www.wikidata.org/wiki/Q2216236","https://images.metmuseum.org/CRDImages/as/original/DP153842.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP153842.jpg","True","2025-09-07T15:38:02.352Z"
"13.100.70","False","False","True","35988","","Asian Art","1913","Folding fan mounted as an album leaf","明　李流芳　疏林小景　扇|Figure standing in a grove of trees","China","Ming dynasty (1368–1644)","","","","1206","Artist"," ","Li Liufang","Chinese, 1575–1629"," ","Li Liufang","Chinese","1575      ","1629      ","","http://vocab.getty.edu/page/ulan/500321500","https://www.wikidata.org/wiki/Q3237555","1613","1613","1613","Folding fan mounted as an album leaf; ink on gold paper","7 7/32 x 21 7/8 in. (18.4 x 55.6 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35988","https://www.wikidata.org/wiki/Q79002285","","Metropolitan Museum of Art, New York, NY","Trees","http://vocab.getty.edu/page/aat/300132410","https://www.wikidata.org/wiki/Q10884","https://images.metmuseum.org/CRDImages/as/original/DP153843.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP153843.jpg","True","2025-09-07T15:38:04.575Z"
"13.100.75","False","False","True","35989","","Asian Art","1913","Folding fan mounted as an album leaf","明   陳季淳   山水人物圖  扇頁|Landscape with figure","China","Ming dynasty (1368–1644)","","","","1210","Artist"," ","Chen Jichun","Chinese, active mid-17th century"," ","Chen Jichun","Chinese","1633      ","1667      ","","","","1635","1635","1635","Folding fan mounted as an album leaf; ink and color on gold paper","7 3/8 × 21 3/4 in. (18.7 × 55.2 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35989","https://www.wikidata.org/wiki/Q79002188","","Metropolitan Museum of Art, New York, NY","Pavilions|Landscapes|Trees","http://vocab.getty.edu/page/aat/300002660|http://vocab.getty.edu/page/aat/300132294|http://vocab.getty.edu/page/aat/300132410","https://www.wikidata.org/wiki/Q276173|https://www.wikidata.org/wiki/Q191163|https://www.wikidata.org/wiki/Q10884","https://images.metmuseum.org/CRDImages/as/original/DP153844.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP153844.jpg","True","2025-09-07T15:38:06.764Z"
"13.100.77","False","False","True","35990","","Asian Art","1913","Folding fan mounted as an album leaf","明　吳彬　翠壁丹楓　扇|Azure Cliff with Red Maples","China","Ming dynasty (1368–1644)","","","","1164","Artist"," ","Wu Bin","active ca. 1583–1626"," ","Wu Bin","Chinese","1583      ","1626      ","","http://vocab.getty.edu/page/ulan/500328298","https://www.wikidata.org/wiki/Q453832","1603","1603","1603","Folding fan mounted as an album leaf; ink and color on paper","6 3/8 × 18 3/4 in. (16.2 × 47.6 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35990","https://www.wikidata.org/wiki/Q79002086","","Metropolitan Museum of Art, New York, NY","Landscapes","http://vocab.getty.edu/page/aat/300132294","https://www.wikidata.org/wiki/Q191163","https://images.metmuseum.org/CRDImages/as/original/DP153846.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP153846.jpg","True","2025-09-07T15:38:08.959Z"
"13.100.79","False","False","True","35992","","Asian Art","1913","Folding fan mounted as an album leaf","明/清   潘雲馭   秋江落照   扇|Setting Sun on the Autumn River","China","Ming dynasty (1368–1644)","","","","1210","Artist"," ","Pan Yunyu","Chinese, active ca. 15th–16th century"," ","Pan Yunyu","Chinese","1400      ","1599      ","","","","1604 or 1664","1604","1604","Folding fan mounted as an album leaf; ink and color on gold paper","6 1/4 x 19 in. (15.9 x 48.3 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35992","https://www.wikidata.org/wiki/Q79001996","","Metropolitan Museum of Art, New York, NY","Boats|Landscapes","http://vocab.getty.edu/page/aat/300178749|http://vocab.getty.edu/page/aat/300132294","https://www.wikidata.org/wiki/Q35872|https://www.wikidata.org/wiki/Q191163","https://images.metmuseum.org/CRDImages/as/original/DP153847.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP153847.jpg","True","2025-09-07T15:38:11.124Z"
"13.100.83","False","False","True","35994","","Asian Art","1913","Folding fan mounted as an album leaf","明/清   祁豸佳   山水 圖|Landscape with fisherman","China","Ming dynasty (1368–1644)","","","","1212","Artist"," ","Qi Zhijia","Chinese, active ca. 1627–after 1682"," ","Qi Zhijia","Chinese","1627      ","1682      ","","","","1643","1643","1643","Folding fan mounted as an album leaf; ink on paper","6 1/2 x 19 1/2 in. (16.5 x 49.5 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35994","https://www.wikidata.org/wiki/Q79001897","","Metropolitan Museum of Art, New York, NY","Landscapes","http://vocab.getty.edu/page/aat/300132294","https://www.wikidata.org/wiki/Q191163","https://images.metmuseum.org/CRDImages/as/original/DP153848.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP153848.jpg","True","2025-09-07T15:38:13.340Z"
"13.100.85","False","False","True","35996","","Asian Art","1913","Folding fan mounted as an album leaf","明   張翀   花鳥圖   扇面|Bird on a flowering branch","China","Ming dynasty (1368–1644)","","","","1204","Artist"," ","Zhang Chong","Chinese, active ca. 1570–1610"," ","Zhang Chong","Chinese","1570      ","1610      ","","(not assigned)","https://www.wikidata.org/wiki/Q11068974","late 16th or early 17th century","1570","1610","Folding fan mounted as an album leaf; ink on gold paper","6 1/2 x 19 1/4 in. (16.5 x 48.9 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35996","https://www.wikidata.org/wiki/Q79001796","","Metropolitan Museum of Art, New York, NY","Birds|Flowers","http://vocab.getty.edu/page/aat/300266506|http://vocab.getty.edu/page/aat/300132399","https://www.wikidata.org/wiki/Q5113|https://www.wikidata.org/wiki/Q506","https://images.metmuseum.org/CRDImages/as/original/DP153823.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP153823.jpg","True","2025-09-07T15:38:15.515Z"
"13.100.87","False","False","True","35998","","Asian Art","1913","Folding fan mounted as an album leaf","明   佚名   倣邵彌   倣文徵明山水  扇頁|Landscape After Wen Zhengming","China","Ming dynasty (1368–1644)","","","","1207","Artist"," ","Shao Mi","active ca 1620–1660"," ","Shao Mi","Chinese","1620      ","1660      ","","http://vocab.getty.edu/page/ulan/500125680","https://www.wikidata.org/wiki/Q3481452","dated 1640","1640","1640","Folding fan mounted as an album leaf; ink and color on gold-flecked paper","6 1/2 × 18 3/4 in. (16.5 × 47.6 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/35998","https://www.wikidata.org/wiki/Q79001693","","Metropolitan Museum of Art, New York, NY","Landscapes","http://vocab.getty.edu/page/aat/300132294","https://www.wikidata.org/wiki/Q191163","https://images.metmuseum.org/CRDImages/as/original/DP153870.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP153870.jpg","True","2025-09-07T15:38:17.689Z"
"13.100.89","False","False","True","36000","","Asian Art","1913","Folding fan mounted as an album leaf","明/清   莊冏生   山水   扇面|River Landscape","China","Qing dynasty (1644–1911)","","","","1212","Artist"," ","Zhuang Jiongsheng","Chinese, born 1626"," ","Zhuang Jiongsheng","Chinese","1626      ","1726      ","","","","","1644","1676","Folding fan mounted as an album leaf; ink on gold paper","6 3/8 x 19 3/4 in. (16.2 x 50.2 cm)","John Stewart Kennedy Fund, 1913","","","","","","","","","","","","Paintings","","http://www.metmuseum.org/art/collection/search/36000","https://www.wikidata.org/wiki/Q79001569","","Metropolitan Museum of Art, New York, NY","Rivers|Landscapes","http://vocab.getty.edu/page/aat/300008707|http://vocab.getty.edu/page/aat/300132294","https://www.wikidata.org/wiki/Q4022|https://www.wikidata.org/wiki/Q191163","https://images.metmuseum.org/CRDImages/as/original/DP153851.jpg","https://images.metmuseum.org/CRDImages/as/web-large/DP153851.jpg","True","2025-09-07T15:38:19.941Z"
